record_id,query_id,query_text,display_order,pano_id,best_yaw,image_path,image_file_name,web_path,top_20_M1,top_20_M2,top_20_M3,top_20_M4,top_20_M5,best_view_path
Q01_POOL_0034_58DR,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",60,YeaDYbnY0Ec3nE2mjf0dUA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\YeaDYbnY0Ec3nE2mjf0dUA_270.jpg,YeaDYbnY0Ec3nE2mjf0dUA_270.jpg,images/YeaDYbnY0Ec3nE2mjf0dUA_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\YeaDYbnY0Ec3nE2mjf0dUA_270.jpg
Q01_POOL_0035_C11E,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",47,aglCcSG0SwLNq1X_tiOywA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\aglCcSG0SwLNq1X_tiOywA_270.jpg,aglCcSG0SwLNq1X_tiOywA_270.jpg,images/aglCcSG0SwLNq1X_tiOywA_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\aglCcSG0SwLNq1X_tiOywA_270.jpg
Q01_POOL_0036_RTJ5,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",53,iM5SWl_4M2nO_NfPqNiRzA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\iM5SWl_4M2nO_NfPqNiRzA_090.jpg,iM5SWl_4M2nO_NfPqNiRzA_090.jpg,images/iM5SWl_4M2nO_NfPqNiRzA_090.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\iM5SWl_4M2nO_NfPqNiRzA_090.jpg
Q01_POOL_0037_PHT0,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",45,jQ9HrSzbLZunRRwFdZW5cg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\jQ9HrSzbLZunRRwFdZW5cg_270.jpg,jQ9HrSzbLZunRRwFdZW5cg_270.jpg,images/jQ9HrSzbLZunRRwFdZW5cg_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\jQ9HrSzbLZunRRwFdZW5cg_270.jpg
Q01_POOL_0038_HL9X,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",24,n501G7FgmRW1hBWgQBZggg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\n501G7FgmRW1hBWgQBZggg_090.jpg,n501G7FgmRW1hBWgQBZggg_090.jpg,images/n501G7FgmRW1hBWgQBZggg_090.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\n501G7FgmRW1hBWgQBZggg_090.jpg
Q01_POOL_0039_PSEI,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",58,p-tm9orK6kOiKyvKQ9ftkQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\p-tm9orK6kOiKyvKQ9ftkQ_270.jpg,p-tm9orK6kOiKyvKQ9ftkQ_270.jpg,images/p-tm9orK6kOiKyvKQ9ftkQ_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\p-tm9orK6kOiKyvKQ9ftkQ_270.jpg
Q01_POOL_0040_MVIH,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",35,pAkKXsekpX_s9AhbPINCpg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pAkKXsekpX_s9AhbPINCpg_090.jpg,pAkKXsekpX_s9AhbPINCpg_090.jpg,images/pAkKXsekpX_s9AhbPINCpg_090.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pAkKXsekpX_s9AhbPINCpg_090.jpg
Q01_POOL_0041_CWI6,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",10,sLLYh0L7H9jwEul76e1cCw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\sLLYh0L7H9jwEul76e1cCw_270.jpg,sLLYh0L7H9jwEul76e1cCw_270.jpg,images/sLLYh0L7H9jwEul76e1cCw_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\sLLYh0L7H9jwEul76e1cCw_270.jpg
Q01_POOL_0042_4CIY,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",5,0ByVqbBqd0Xiox2OhycxUw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\0ByVqbBqd0Xiox2OhycxUw_270.jpg,0ByVqbBqd0Xiox2OhycxUw_270.jpg,images/0ByVqbBqd0Xiox2OhycxUw_270.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\0ByVqbBqd0Xiox2OhycxUw_270.jpg
Q01_POOL_0043_HE7U,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",8,5zQgjTFreXXwUJsxZl-zxA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5zQgjTFreXXwUJsxZl-zxA_270.jpg,5zQgjTFreXXwUJsxZl-zxA_270.jpg,images/5zQgjTFreXXwUJsxZl-zxA_270.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5zQgjTFreXXwUJsxZl-zxA_270.jpg
